State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Higher_Education,Graduate_Education,Hindus,sex_ratio,literacy_rate
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,97025,62608,1008219,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,118849,55011,877495,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,40602,18225,766000,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,39637,21408,521962,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,39571,17287,529068,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,82885,44212,797130,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,115864,66994,1225246,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,71734,39368,491582,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,90385,49901,1422824,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,61040,38152,1181347,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,68177,39627,1593525,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,136783,91371,2291133,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,310762,253253,2545438,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,63103,35767,1772655,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,144783,101836,2554330,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,154643,118843,2487866,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,163303,131137,2518216,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,89306,64117,1591454,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,152540,129597,3042729,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,191824,131163,3876395,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,123249,79109,2119262,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,56137,29633,1525746,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,68748,45519,1045117,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,88498,57114,1684589,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,65931,38697,1486989,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,25989,15386,531236,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,48001,27261,956396,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,79891,44955,1753829,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,170563,137780,3652168,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,101907,64469,1252319,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,194920,138916,4032773,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,177358,133032,2669775,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,95943,64585,1964620,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,98732,70669,3047427,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,463361,452340,5356075,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,121594,68781,4086453,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,83226,59996,1989420,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,194928,161555,2645415,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,64560,47051,1629254,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,186153,129933,3800598,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,213251,148065,3534772,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,33856,19676,596102,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,16031,10091,552492,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,92783,70549,2672311,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,186817,119164,2712635,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,69665,45726,1809936,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,178320,124448,3152346,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,98786,174528,852574,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,57413,32895,1277975,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,45695,25474,371973,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,152838,134637,2540763,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,58875,31319,777188,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,286244,202424,3129745,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,50562,26161,629509,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,83166,61215,1133176,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,38677,26802,604259,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,57949,33357,1008061,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,93340,66358,1422986,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,221410,204507,2239370,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,267265,227382,3881485,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,105992,64607,2126195,98.0,50.0
